year,year_code,country_name,country_code,region,region_code,economic_fitness_matrix,economic_fitness_ranking
1997,YR1997,Cote d'Ivoire,CIV,Sub-Saharan Africa,SSA,0.11469,99
1997,YR1997,Croatia,HRV,Europe & Central Asia,ECA,1.3391,35
1997,YR1997,Cyprus,CYP,Europe & Central Asia,ECA,0.86073,50
1997,YR1997,Czech Republic,CZE,Europe & Central Asia,ECA,3.825,11
1997,YR1997,Denmark,DNK,Europe & Central Asia,ECA,2.8763,16
1997,YR1997,Ecuador,ECU,Latin America & Caribbean,LAC,0.10676,100
1997,YR1997,"Egypt, Arab Rep.",EGY,Middle East & North Africa,MENA,0.48933,63
1997,YR1997,El Salvador,SLV,Latin America & Caribbean,LAC,0.38233,73
1997,YR1997,Eritrea,ERI,Sub-Saharan Africa,SSA,0.0077118,126
1997,YR1997,Estonia,EST,Europe & Central Asia,ECA,1.0886,43
1997,YR1997,Ethiopia,ETH,Sub-Saharan Africa,SSA,0.0053632,128
1997,YR1997,Finland,FIN,Europe & Central Asia,ECA,1.8691,24
1997,YR1997,France,FRA,Europe & Central Asia,ECA,5.8483,5
1997,YR1997,Gabon,GAB,Sub-Saharan Africa,SSA,9.74E-08,137
1997,YR1997,"Gambia, The",GMB,Sub-Saharan Africa,SSA,0.22616,80
